WRAY-TV,10133,WILSON,NC,AMERICAN INDIAN OR ALASKA NATIVE
KWTV-DT,25382,OKLAHOMA CITY,OK,AMERICAN INDIAN OR ALASKA NATIVE
WNYB,30303,JAMESTOWN,NY,AMERICAN INDIAN OR ALASKA NATIVE
KOTV-DT,35434,TULSA,OK,AMERICAN INDIAN OR ALASKA NATIVE
WRLM,43870,CANTON,OH,AMERICAN INDIAN OR ALASKA NATIVE
WLXI,54452,GREENSBORO,NC,AMERICAN INDIAN OR ALASKA NATIVE
WTLJ,67781,MUSKEGON,MI,AMERICAN INDIAN OR ALASKA NATIVE
WTCT,67786,MARION,IL,AMERICAN INDIAN OR ALASKA NATIVE
WINM,67787,ANGOLA,IN,AMERICAN INDIAN OR ALASKA NATIVE
WAQP,67792,SAGINAW,MI,AMERICAN INDIAN OR ALASKA NATIVE
KQCW-DT,78322,MUSKOGEE,OK,AMERICAN INDIAN OR ALASKA NATIVE
KWQC-TV,6885,DAVENPORT,IA,ASIAN
KQSL,8378,FORT BRAGG,CA,ASIAN
KLFY-TV,35059,LAFAYETTE,LA,ASIAN
KWKB,35096,IOWA CITY,IA,ASIAN
KPLO-TV,41964,RELIANCE,SD,ASIAN
KCLO-TV,41969,RAPID CITY,SD,ASIAN
KDLO-TV,41975,FLORENCE,SD,ASIAN
KELO-TV,41983,SIOUX FALLS,SD,ASIAN
WMBC-TV,43952,NEWTON,NJ,ASIAN
KILM,63865,BARSTOW,CA,ASIAN
KBFD-DT,65395,HONOLULU,HI,ASIAN
KRON-TV,65526,SAN FRANCISCO,CA,ASIAN
WATE-TV,71082,KNOXVILLE,TN,ASIAN
WKRN-TV,73188,NASHVILLE,TN,ASIAN
WRIC-TV,74416,PETERSBURG,VA,ASIAN
WBAY-TV,74417,GREEN BAY,WI,ASIAN
WCDC-TV,74419,ADAMS,MA,ASIAN
WLNS-TV,74420,LANSING,MI,ASIAN
WTEN,74422,ALBANY,NY,ASIAN
WSVI,2370,CHRISTIANSTED,VI,BLACK OR AFRICAN AMERICAN
WMEI,26676,ARECIBO,PR,BLACK OR AFRICAN AMERICAN
WRBU,57221,EAST ST. LOUIS,IL,BLACK OR AFRICAN AMERICAN
WOST,60357,MAYAGUEZ,PR,BLACK OR AFRICAN AMERICAN
WZVI,83270,CHARLOTTE AMALIE,VI,BLACK OR AFRICAN AMERICAN
WPFO,84088,WATERVILLE,ME,BLACK OR AFRICAN AMERICAN
WLOO,84253,VICKSBURG,MS,BLACK OR AFRICAN AMERICAN
WZRB,136750,COLUMBIA,SC,BLACK OR AFRICAN AMERICAN
KSQA,166546,TOPEKA,KS,BLACK OR AFRICAN AMERICAN
KUAM-TV,51233,HAGATNA,GU,NATIVE HAWAIIAN OR OTHER PACIFIC ISLANDER
WJYS,32334,HAMMOND,IN,TWO OR MORE RACES
