"Abilene, TX",10180,165252,131508,12184,1084,2209,132,4867,35108,79.6,7.4,0.7,1.3,0.1,2.9,21.2
"Akron, OH",10420,703200,585423,84807,1311,14190,173,14281,10733,83.3,12.1,0.2,2,0,2,1.5
"Albany, GA",10500,157308,70063,82029,368,1481,148,1871,3270,44.5,52.1,0.2,0.9,0.1,1.2,2.1
"Albany-Schenectady-Troy, NY",10580,870716,739196,67361,2072,27192,287,21382,36027,84.9,7.7,0.2,3.1,0,2.5,4.1
"Albuquerque, NM",10740,887077,617629,23742,51987,17924,927,38301,414222,69.6,2.7,5.9,2,0.1,4.3,46.7
"Alexandria, LA",10780,153922,101522,45583,1263,1618,44,2563,4349,66,29.6,0.8,1.1,0,1.7,2.8
"Allentown-Bethlehem-Easton, PA-NJ",10900,821173,693837,41220,2166,20434,281,19414,106598,84.5,5,0.3,2.5,0,2.4,13
"Altoona, PA",11020,127089,122238,2129,143,706,29,1547,1230,96.2,1.7,0.1,0.6,0,1.2,1
"Amarillo, TX",11100,249881,199405,15278,1908,6525,104,6506,63116,79.8,6.1,0.8,2.6,0,2.6,25.3
"Ames, IA",11180,89542,79344,2196,163,5383,20,1518,2695,88.6,2.5,0.2,6,0,1.7,3
"Anchorage, AK",11260,380821,268038,17082,28031,24676,6122,29386,25362,70.4,4.5,7.4,6.5,1.6,7.7,6.7
"Anderson, IN",11300,131636,115452,10963,320,553,45,2330,4189,87.7,8.3,0.2,0.4,0,1.8,3.2
"Anderson, SC",11340,187126,149818,30020,478,1405,43,2862,5447,80.1,16,0.3,0.8,0,1.5,2.9
"Ann Arbor, MI",11460,344791,256880,43767,1174,27109,128,11574,13860,74.5,12.7,0.3,7.9,0,3.4,4
"Anniston-Oxford, AL",11500,118572,88840,24382,540,845,96,1975,3893,74.9,20.6,0.5,0.7,0.1,1.7,3.3
"Appleton, WI",11540,225666,207425,1982,3185,6260,81,3300,8049,91.9,0.9,1.4,2.8,0,1.5,3.6
"Asheville, NC",11700,424858,379546,19299,1748,3724,490,7913,27100,89.3,4.5,0.4,0.9,0.1,1.9,6.4
"Athens-Clarke County, GA",12020,192541,137538,37544,405,6134,92,3612,15313,71.4,19.5,0.2,3.2,0,1.9,8
"Atlanta-Sandy Springs-Marietta, GA",12060,5268860,2920480,1707913,17963,254307,2649,126091,547400,55.4,32.4,0.3,4.8,0.1,2.4,10.4
"Atlantic City-Hammonton, NJ",12100,274549,179566,44138,1050,20595,92,8890,46241,65.4,16.1,0.4,7.5,0,3.2,16.8
"Auburn-Opelika, AL",12220,140247,100006,31901,445,3658,105,2259,4571,71.3,22.7,0.3,2.6,0.1,1.6,3.3
"Augusta-Richmond County, GA-SC",12260,556877,325361,196695,1941,9669,708,12773,24712,58.4,35.3,0.3,1.7,0.1,2.3,4.4
"Austin-Round Rock-San Marcos, TX",12420,1716289,1250332,127397,13452,82433,1347,54873,538313,72.9,7.4,0.8,4.8,0.1,3.2,31.4
"Bakersfield-Delano, CA",12540,839631,499766,48921,12676,34846,1252,37856,413033,59.5,5.8,1.5,4.2,0.1,4.5,49.2
"Baltimore-Towson, MD",12580,2710489,1684436,778879,8517,122911,1467,67656,123754,62.1,28.7,0.3,4.5,0.1,2.5,4.6
"Bangor, ME",12620,153923,146802,1159,1809,1422,44,2349,1620,95.4,0.8,1.2,0.9,0,1.5,1.1
"Barnstable Town, MA",12700,215888,200194,4062,1324,2287,85,4701,4687,92.7,1.9,0.6,1.1,0,2.2,2.2
"Baton Rouge, LA",12940,802484,479603,285911,2194,14345,267,9782,27357,59.8,35.6,0.3,1.8,0,1.2,3.4
"Battle Creek, MI",12980,136146,111915,14872,831,2179,56,4189,6177,82.2,10.9,0.6,1.6,0,3.1,4.5
"Bay City, MI",13020,107771,101451,1702,564,578,14,2407,5093,94.1,1.6,0.5,0.5,0,2.2,4.7
"Beaumont-Port Arthur, TX",13140,388745,251557,95463,2024,9710,132,7105,50049,64.7,24.6,0.5,2.5,0,1.8,12.9
"Bellingham, WA",13380,201140,171816,1929,5683,7090,492,7553,15756,85.4,1,2.8,3.5,0.2,3.8,7.8
"Bend, OR",13460,157733,145374,568,1449,1476,210,3993,11718,92.2,0.4,0.9,0.9,0.1,2.5,7.4
"Billings, MT",13740,158050,144021,968,5965,961,117,4213,7143,91.1,0.6,3.8,0.6,0.1,2.7,4.5
"Binghamton, NY",13780,251725,226000,9989,482,7437,97,5662,7472,89.8,4,0.2,3,0,2.2,3
"Birmingham-Hoover, AL",13820,1128047,753158,318373,3351,13866,506,13303,48530,66.8,28.2,0.3,1.2,0,1.2,4.3
"Bismarck, ND",13900,108779,101359,603,4393,446,51,1600,1386,93.2,0.6,4,0.4,0,1.5,1.3
"Blacksburg-Christiansburg-Radford, VA",13980,162958,145889,7013,322,5602,42,3040,3562,89.5,4.3,0.2,3.4,0,1.9,2.2
"Bloomington, IN",14020,192714,174786,4605,521,7376,67,3896,4549,90.7,2.4,0.3,3.8,0,2,2.4
"Bloomington-Normal, IL",14060,169572,142940,12426,383,7227,55,3938,7434,84.3,7.3,0.2,4.3,0,2.3,4.4
"Boise City-Nampa, ID",14260,616561,542173,5576,5282,11101,1282,17656,77538,87.9,0.9,0.9,1.8,0.2,2.9,12.6
"Boston-Cambridge-Quincy, MA-NH",14460,4552402,3587540,331292,11338,294503,1491,118201,410516,78.8,7.3,0.2,6.5,0,2.6,9
"Boulder, CO",14500,294567,256889,2532,1832,12133,173,7881,39276,87.2,0.9,0.6,4.1,0.1,2.7,13.3
"Bowling Green, KY",14540,125953,106956,10480,352,3209,130,2488,5274,84.9,8.3,0.3,2.5,0.1,2,4.2
"Bremerton-Silverdale, WA",14740,251133,207369,6650,4040,12396,2310,14449,15686,82.6,2.6,1.6,4.9,0.9,5.8,6.2
"Bridgeport-Stamford-Norwalk, CT",14860,916829,685900,99317,2384,42284,442,24028,155025,74.8,10.8,0.3,4.6,0,2.6,16.9
"Brownsville-Harlingen, TX",15180,406220,353423,2155,1688,2689,113,6247,357747,87,0.5,0.4,0.7,0,1.5,88.1
"Brunswick, GA",15260,112370,80014,26413,343,1004,107,1879,5696,71.2,23.5,0.3,0.9,0.1,1.7,5.1
"Buffalo-Niagara Falls, NY",15380,1135509,926917,138782,8193,25612,281,21189,46425,81.6,12.2,0.7,2.3,0,1.9,4.1
"Burlington, NC",15500,151131,107420,28369,1020,1837,58,3136,16639,71.1,18.8,0.7,1.2,0,2.1,11
"Burlington-South Burlington, VT",15540,211261,197041,3557,980,4651,66,4218,3507,93.3,1.7,0.5,2.2,0,2,1.7
"Canton-Massillon, OH",15940,404422,361393,28676,1038,2821,85,8642,6203,89.4,7.1,0.3,0.7,0,2.1,1.5
"Cape Coral-Fort Myers, FL",15980,618754,513496,51069,2193,8461,380,12865,113308,83,8.3,0.4,1.4,0.1,2.1,18.3
"Cape Girardeau-Jackson, MO-IL",16020,96275,84261,8277,289,940,29,1637,1729,87.5,8.6,0.3,1,0,1.7,1.8
"Carson City, NV",16180,55274,44807,1054,1306,1181,101,1620,11777,81.1,1.9,2.4,2.1,0.2,2.9,21.3
"Casper, WY",16220,75450,70015,665,781,510,39,1810,5231,92.8,0.9,1,0.7,0.1,2.4,6.9
"Cedar Rapids, IA",16300,257940,237354,8856,659,3962,184,5295,6079,92,3.4,0.3,1.5,0.1,2.1,2.4
"Champaign-Urbana, IL",16580,231891,177670,25089,611,18057,140,5838,11068,76.6,10.8,0.3,7.8,0.1,2.5,4.8
"Charleston, WV",16620,304284,280766,14751,606,2462,68,4894,2522,92.3,4.8,0.2,0.8,0,1.6,0.8
"Charleston-North Charleston-Summerville, SC",16700,664607,435763,184019,3039,10817,629,13895,35707,65.6,27.7,0.5,1.6,0.1,2.1,5.4
"Charlotte-Gastonia-Rock Hill, NC-SC",16740,1758038,1145080,421105,8684,55315,989,39398,172766,65.1,24,0.5,3.1,0.1,2.2,9.8
"Charlottesville, VA",16820,201559,159144,25109,508,7869,86,4894,9640,79,12.5,0.3,3.9,0,2.4,4.8
